id,severity,package,category,title,evidence,impact,remediation,blocking_gate
ALG-P1-014,P1,AlgorithmTeam12 v2.5.1,공급망,checkout에 lfs:true가 없고 package_from_git은 archive와 git blob의 내용 등가를 전수 검증하지 않음,.github/workflows/model-tier-b.yml; scripts/package_from_git.sh,Git LFS pointer 또는 export 속성으로 실제 측정 코드/모델 신원이 달라질 수 있음,"LFS fetch/verify, git ls-tree blob OID→archive file hash mapping, signed in-toto/SLSA attestation",M3_START
ALG-P1-015,P1,AlgorithmTeam12 v2.5.1,공급망,"source-provenance.intoto.json이 signed=false, authenticityClaimed=false",scripts/package_from_git.sh:36-47,정직한 표기지만 신뢰 루트가 없어 제3자가 provenance를 위조 가능,OIDC keyless signing 또는 조직 승인 키로 attestation 서명 및 verifier trust policy 제공,M3_START
ALG-P1-016,P1,AlgorithmTeam12 v2.5.1,모델경로,model root를 resolve하여 root symlink를 허용하며 전체 ancestor walk는 descriptor-relative가 아님,model_manifest.py:16-30,검사 중 ancestor swap/승인 경로 혼동 가능성,root부터 openat/O_NOFOLLOW descriptor traversal하고 approved resolved-root digest를 결속,M3_START
COD-P0-001,P0,Codex v2.5,구현범위,제출자가 스스로 SPEC_READY/CODE_IMPLEMENTATION_PASS=NO로 선언한 계약 패치이며 실제 제품 실행기가 없음,"REPORT.md; patch에는 owner runner, actual product bridge, M3 executor 없음",제품 개발결과물 또는 M3 후보로 사용할 수 없음,정본·테스트 벡터 참고용으로만 유지하고 실제 저장소 통합 구현은 별도 진행,M3_START
COD-P0-002,P0,Codex v2.5,실행증거,실제 제품 통합·10-job CI·OS egress·Apple target·M3 모두 미실행,REPORT.md final verdict,성능·보안·운영 완료 주장 불가,v2.7 통합 브랜치에서 모든 실행 gate 완료,M3_START
COD-P1-003,P1,Codex v2.5,독립검증,offline verifier가 manifest structure/digest만 검증하고 receipt graph·semantic execution을 요구하지 않음,scripts/verify_model_tier_b_v25_artifact.py:96-128,독립검증 PASS가 실행 증거 PASS를 의미하지 않음,v2.7 evidence verifier로 대체,M3_START
COD-P1-004,P1,Codex v2.5,정책,PyYAML safe_load 중복키 차단 없음,butler_bench/policy.py:57-70,승인 정책 모호성,strict duplicate-key parser,M3_START
COD-P1-005,P1,Codex v2.5,worker,worker validator가 self-reported JSONL을 검증할 뿐 process/model/inference를 실행하거나 parent-observe하지 않음,butler_bench/worker_protocol.py,합성 이벤트로 TTFT PASS 가능,실 worker controller와 parent-observed transcript 구현,M3_START
COD-P1-006,P1,Codex v2.5,재현성,보고서 80 passed는 패키지 단독으로 재현 불가; 재구성 patch tests는 43 passed,evidence/pytest_model_tier.txt vs independent reconstructed pytest,기존 repo 회귀 결과와 첨부 patch 자체 결과가 혼합됨,clean git bundle/commit과 raw CI artifact를 함께 제공,M3_START
COD-P1-007,P1,Codex v2.5,provenance,effective/harness committed tree와 PR/CI artifact가 없음,REPORT.md acknowledges effective integration 0%,패치가 어떤 최종 소스에서 검증됐는지 제3자 재현 어려움,"full commit/tree OID, fetchable ref 또는 git bundle, CI run attestation 제공",M3_START
COM-P0-001,P0,공통,M3,세 결과물 모두 실제 M3 product sample 0건,각 패키지 current status/REPORT,"모델 우열, latency, quality, memory, thermal, egress에 대한 결론을 낼 수 없음",P0 폐쇄와 CI 후 canonical owner run 수행,M3_START
COM-P0-002,P0,공통,물리모델,실제 1.7B와 4B 물리 모델의 동시 상주·양쪽 inference·pre/post hash 증거 없음,M3 NOT RUN,dual-resident 적합성과 OOM/swap 위험 미확인,별도 PID·distinct manifest·overlap·OS memory sampler·inference transcript를 실측,M3_START
COM-P0-003,P0,공통,신뢰체인,승인된 source/policy/evaluator/controller/worker를 하나의 signed trust graph로 연결하지 못함,self-signed digest 또는 unsigned attestation 중심,개별 해시는 맞아도 누가 무엇을 승인했는지 위조 가능,조직 trust policy와 signed in-toto/SLSA attestations 도입,M3_START
COM-P1-004,P1,공통,TTFT,TTFT가 child monotonic self-report에 의존하고 parent-observed first output과 결속되지 않음,worker validators,성능 수치 조작 또는 clock-domain 오류 가능,parent monotonic send/first-byte/first-token timestamps와 stream digest 결속,M3_START
COM-P1-005,P1,공통,성능효율,전력·에너지·joules/request·performance/W 측정 없음,M3 미실행 및 power receipt 부재,온디바이스 제품 적합성의 핵심 비용·발열 비교가 빠짐,powermetrics/승인 계측 도구 기반 energy receipt 추가,M3_START
COM-P1-006,P1,공통,계측품질,observer·sampler·DLP 계측 오버헤드와 negative control이 없음,실제 instrumentation overhead result 0,계측 자체가 latency/메모리 결과를 왜곡할 수 있음,instrumented vs non-instrumented paired run과 overhead SLO 적용,M3_START
COM-P1-007,P1,공통,통계,"실제 표본에 대한 p50/p95, bootstrap CI, failure/repair/cascade rate 결과 없음",M3 samples=0,통계 알고리즘 구현 여부와 별개로 성능 결론 불가,고정 seed·사전등록 policy로 raw samples에서 독립 재계산,M3_START
