defect_id,severity,source_package,category,title,v2_8_requirement,acceptance_ids,attack_ids,blocking_gate,closure_rule,current_status
ALG-P0-008,P0,AlgorithmTeam12 v2.5.1,semantic verifier,evaluator callables와 evaluator_sha256가 cryptographically 결속되지 않음,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-009,P0,AlgorithmTeam12 v2.5.1,증거,제품 adapter가 evidence_root와 final receipt pointer를 스스로 반환하고 offline verifier는 구조만 검증,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-010,P0,AlgorithmTeam12 v2.5.1,테스트,실제 제품 entrypoint 5개 실행 테스트가 패키지에 없음,"12 jobs, signed artifact subjects, inner payload signature and offline replay",AC-CI-01;AC-CI-02;AC-CI-03,ATK-035;ATK-060,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P0-011,P0,AlgorithmTeam12 v2.5.1,실행증거,base full SHA·승인 policy·CI·M3·live/offline M3 evidence가 전부 NO,"strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P1-012,P1,AlgorithmTeam12 v2.5.1,worker,"communicate 기반 무제한 buffering, child self-reported clock/token, descendant 종료 증거 없음","challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P1-013,P1,AlgorithmTeam12 v2.5.1,CI,closed_world_schema와 raw_path_secret_scan이 동일 test_evidence_security.py를 반복 실행,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",AC-SCN-01;AC-SCN-02;AC-SCN-03,ATK-002;ATK-003;ATK-004,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P1-014,P1,AlgorithmTeam12 v2.5.1,공급망,checkout에 lfs:true가 없고 package_from_git은 archive와 git blob의 내용 등가를 전수 검증하지 않음,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P1-015,P1,AlgorithmTeam12 v2.5.1,공급망,"source-provenance.intoto.json이 signed=false, authenticityClaimed=false","strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
ALG-P1-016,P1,AlgorithmTeam12 v2.5.1,모델경로,model root를 resolve하여 root symlink를 허용하며 전체 ancestor walk는 descriptor-relative가 아님,"11 M3 gates, 46-defect closure and nonactivation invariants",AC-GOV-01;AC-GOV-02;AC-GOV-03,ATK-043;ATK-044,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P0-001,P0,Codex v2.5,구현범위,제출자가 스스로 SPEC_READY/CODE_IMPLEMENTATION_PASS=NO로 선언한 계약 패치이며 실제 제품 실행기가 없음,"11 M3 gates, 46-defect closure and nonactivation invariants",AC-GOV-01;AC-GOV-02;AC-GOV-03,ATK-043;ATK-044,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P0-002,P0,Codex v2.5,실행증거,실제 제품 통합·10-job CI·OS egress·Apple target·M3 모두 미실행,"approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P1-003,P1,Codex v2.5,독립검증,offline verifier가 manifest structure/digest만 검증하고 receipt graph·semantic execution을 요구하지 않음,producer-independent structural and semantic recomputation with stable exits,AC-VER-01;AC-VER-02;AC-VER-03,ATK-041;ATK-042,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P1-004,P1,Codex v2.5,정책,PyYAML safe_load 중복키 차단 없음,"strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P1-005,P1,Codex v2.5,worker,worker validator가 self-reported JSONL을 검증할 뿐 process/model/inference를 실행하거나 parent-observe하지 않음,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P1-006,P1,Codex v2.5,재현성,보고서 80 passed는 패키지 단독으로 재현 불가; 재구성 patch tests는 43 passed,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COD-P1-007,P1,Codex v2.5,provenance,effective/harness committed tree와 PR/CI artifact가 없음,"full commit·tree OID, clean tree, submodule/LFS materialization and blob equivalence",AC-SRC-01;AC-SRC-02;AC-SRC-03,ATK-025;ATK-026;ATK-027,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P0-001,P0,공통,M3,세 결과물 모두 실제 M3 product sample 0건,"approved controller profile, full activation interval, native probes and counters",AC-EGR-01;AC-EGR-02;AC-EGR-03,ATK-007;ATK-008;ATK-009,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P0-002,P0,공통,물리모델,실제 1.7B와 4B 물리 모델의 동시 상주·양쪽 inference·pre/post hash 증거 없음,"distinct variants/PIDs, overlap and inference recomputation",AC-DUAL-01;AC-DUAL-02;AC-DUAL-03,ATK-012;ATK-013;ATK-014,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P0-003,P0,공통,신뢰체인,승인된 source/policy/evaluator/controller/worker를 하나의 signed trust graph로 연결하지 못함,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,MERGE_AND_M3,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P1-004,P1,공통,TTFT,TTFT가 child monotonic self-report에 의존하고 parent-observed first output과 결속되지 않음,"challenge-bound worker identity, parent timing, bounded streams and descendant cleanup",AC-WRK-01;AC-WRK-02;AC-WRK-03,ATK-015;ATK-016;ATK-017,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P1-005,P1,공통,성능효율,전력·에너지·joules/request·performance/W 측정 없음,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",AC-EVD-01;AC-EVD-02;AC-EVD-03,ATK-001;ATK-045;ATK-046,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P1-006,P1,공통,계측품질,observer·sampler·DLP 계측 오버헤드와 negative control이 없음,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",AC-MEM-01;AC-MEM-02;AC-MEM-03,ATK-053;ATK-054;ATK-055,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
COM-P1-007,P1,공통,통계,"실제 표본에 대한 p50/p95, bootstrap CI, failure/repair/cascade rate 결과 없음","strict canonical JSON, approval scope, expiry, trust root and signature claims",AC-POL-01;AC-POL-02;AC-POL-03,ATK-030;ATK-031;ATK-032,M3_START,code+test+CI receipt+independent replay; documentary claim prohibited,OPEN_UNVERIFIED
