acceptance_id,priority,area,requirement,assertion,evidence_required,expected,owner,ci_job,blocking_gate
AC-MOD-01,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MOD-02,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MOD-03,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MOD-04,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MOD-05,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MOD-06,P0,model identity,"descriptor-relative manifest verification, swap/symlink/hardlink resistance","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,source_provenance,MERGE_AND_M3
AC-MEM-01,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-MEM-02,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-MEM-03,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-MEM-04,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-MEM-05,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-MEM-06,P0,memory/Metal,"eight marks, PID scope, raw samples, thermal/LPM/power and gap policy","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,swift_metal_typecheck,M3_START
AC-DUAL-01,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-DUAL-02,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-DUAL-03,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-DUAL-04,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-DUAL-05,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-DUAL-06,P0,dual resident,"distinct variants/PIDs, overlap and inference recomputation","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-EGR-01,P0,OS egress,"approved controller profile, full activation interval, native probes and counters",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EGR-02,P0,OS egress,"approved controller profile, full activation interval, native probes and counters","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EGR-03,P0,OS egress,"approved controller profile, full activation interval, native probes and counters",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EGR-04,P0,OS egress,"approved controller profile, full activation interval, native probes and counters",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EGR-05,P0,OS egress,"approved controller profile, full activation interval, native probes and counters",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EGR-06,P0,OS egress,"approved controller profile, full activation interval, native probes and counters","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,M3_START
AC-EVD-01,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-EVD-02,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-EVD-03,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-EVD-04,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-EVD-05,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-EVD-06,P0,evidence DAG,"mandatory receipt cardinality, closed-world schemas, final pointer and orphan-free DAG","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,closed_world_schema,MERGE_AND_M3
AC-VER-01,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-VER-02,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,"missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-VER-03,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-VER-04,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-VER-05,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-VER-06,P0,independent verifier,producer-independent structural and semantic recomputation with stable exits,"negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-SCN-01,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCN-02,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCN-03,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCN-04,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCN-05,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCN-06,P0,artifact scanner,"registered binary policy, recursive archive limits, multi-encoding secret/path scan","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,raw_path_secret_scan,MERGE_AND_M3
AC-SCH-01,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-SCH-02,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-SCH-03,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-SCH-04,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-SCH-05,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-SCH-06,P0,schedule/statistics,"5 epoch, warmup exclusion, AB/BA, cooldown, paired bootstrap and samples-first","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,unit_contract,MERGE_AND_M3
AC-CI-01,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-CI-02,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-CI-03,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-CI-04,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-CI-05,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-CI-06,P0,CI/package,"12 jobs, signed artifact subjects, inner payload signature and offline replay","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,package_from_git_object,MERGE_AND_M3
AC-GOV-01,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants",happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-GOV-02,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants","missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-GOV-03,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants",tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-GOV-04,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants",production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-GOV-05,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants",receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-GOV-06,P0,governance/status,"11 M3 gates, 46-defect closure and nonactivation invariants","negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,signed_attestation_replay,MERGE_AND_M3
AC-ENG-01,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,happy-path evidence is recomputed and bound to approved subjects,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-ENG-02,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,"missing, unknown, duplicate or UNSET input fails closed",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-ENG-03,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,tampered identity/digest/order is detected by an independent check,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-ENG-04,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,production integration test exercises the real owner-controlled path,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-ENG-05,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,receipt/schema/output is deterministic after normalization,signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
AC-ENG-06,P1,energy,verified measurement source or explicit NOT_MEASURED/NO_DECISION,"negative test proves no boolean, filename or marker-only bypass",signed receipt digest + raw-safe transcript + independent verifier result,PASS only when recomputed; otherwise BLOCK,Main+Algorithm+Codex,actual_integration,M3_START
